Replicate,Period,Unit_ref,Set_date,Month,Site,Latitude,Longitude,Depth,Time_in,Time_out,Caves_distance,Quarry_distance,MaxN_species,Harengula_clupeola,Eucinostomus_gula,Strongylura_notata,Haemulon_plumierii,Atherinomorus_stipes,Maguimithrax _spinosissimus,Octopus_briareus,Hippocampus_erectus,Fasciolaraia_tulipa,Chilomycterus_antennatus,Total_fish_abundance,LC_cover,CR_cover,F_cover,HY_cover,CS_cover,MO_cover,ET_cover
5,Nocturnal,Grouper_C,26/06/2019,June,Grouper Cave,25.357270,-76.510180,2.5,23:32,14:03,1190.636,593.153,4,19,1,1,0,5,1,2,0,1,0,30,0,0,100,0,0,0,0
5,Nocturnal,Octopus_A,02/07/2019,July,Emmas,25.363400,-76.511330,4.6,23:35,13:19,765.842,887.175,2,22,2,0,0,1,0,0,0,0,0,25,0,0,0,0,100,0,0
5,Nocturnal,Octopus_B,02/07/2019,July,Emmas,25.362950,-76.509770,4.1,23:44,13:52,929.409,735.520,3,36,0,1,0,3,0,1,1,0,0,42,40,0,60,0,0,0,0
5,Nocturnal,Octopus_C,02/07/2019,July,Emmas,25.363700,-76.509100,3.1,23:50,14:21,983.653,750.482,4,26,2,2,0,5,1,0,1,0,0,37,0,0,8,0,92,0,0
6,Nocturnal,Quarry_A,03/07/2019,July,Quarry,25.360090,-76.505770,1.4,23:39,12:12,1405.838,229.027,3,36,1,1,0,3,1,0,0,1,0,43,0,0,100,0,0,0,0
6,Nocturnal,Quarry_B,03/07/2019,July,Quarry,25.357950,-76.505390,1.8,23:48,12:35,1540.112,110.311,3,7,1,2,0,0,0,0,0,1,0,11,0,24,68,0,8,0,0
6,Nocturnal,Quarry_C,03/07/2019,July,Quarry,25.357380,-76.506110,2.9,23:55,12:30,1509.440,205.162,4,90,2,2,0,6,1,0,0,0,0,101,0,0,100,0,0,0,0
6,Nocturnal,Grouper_A,06/07/2019,July,Grouper Cave,25.355550,-76.507650,2.6,23:15,15:12,1507.188,454.541,2,18,1,1,0,1,2,0,0,0,0,23,0,0,100,0,0,0,0
6,Nocturnal,Grouper_B,06/07/2019,July,Grouper Cave,25.356370,-76.510290,2.2,23:28,14:34,1253.214,632.495,3,14,1,1,0,2,0,0,0,0,0,18,0,48,16,0,0,36,0
6,Nocturnal,Grouper_C,06/07/2019,July,Grouper Cave,25.357320,-76.510380,4.5,23:36,14:10,1172.188,611.698,3,48,0,1,0,2,1,0,0,0,0,52,0,40,24,0,36,0,0
1,Diurnal,Quarry_A,16/07/2020,July,Quarry,25.358979,-76.504975,2,1139,1245,,,2,56,5,2,2,0,0,0,0,0,1,66,,,,,,,
1,Diurnal,Quarry_B,16/07/2020,July,Quarry,25.35721,-76.505061,3,1144,1252,,,3,23,7,0,6,0,0,0,1,0,1,38,,,,,,,
